sharps,flats,frequency
C0,C0,32.7
C#0,Db0,34.65
D0,D0,36.71
D#0,Eb0,38.89
E0,E0,41.2
F0,F0,43.65
F#0,Gb0,46.25
G0,G0,49
G#0,Ab0,51.91
A0,A0,55
A#0,Bb0,58.27
B0,B0,61.74
C1,C1,65.41
C#1,Db1,69.3
D1,D1,73.42
D#1,Eb1,77.78
E1,E1,82.41
F1,F1,87.31
F#1,Gb1,92.5
G1,G1,98
G#1,Ab1,103.83
A1,A1,110
A#1,Bb1,116.54
B1,B1,123.47
C2,C2,130.81
C#2,Db2,138.59
D2,D2,146.83
D#2,Eb2,155.56
E2,E2,164.81
F2,F2,174.61
F#2,Gb2,185
G2,G2,196
G#2,Ab2,207.65
A2,A2,220
A#2,Bb2,233.08
B2,B2,246.94
C3,C3,261.63
C#3,Db3,277.18
D3,D3,293.66
D#3,Eb3,311.13
E3,E3,329.63
F3,F3,349.23
F#3,Gb3,369.99
G3,G3,392
G#3,Ab3,415.3
A3,A3,440
A#3,Bb3,466.16
B3,B3,493.88
C4,C4,523.25
C#4,Db4,554.37
D4,D4,587.33
D#4,Eb4,622.25
E4,E4,659.25
F4,F4,698.46
F#4,Gb4,739.99
G4,G4,783.99
G#4,Ab4,830.61
A4,A4,880
A#4,Bb4,932.33
B4,B4,987.77
C5,C5,1046.5
C#5,Db5,1108.73
D5,D5,1174.66
D#5,Eb5,1244.51
E5,E5,1318.51
F5,F5,1396.91
F#5,Gb5,1479.98
G5,G5,1567.98
G#5,Ab5,1661.22
A5,A5,1760
A#5,Bb5,1864.66
B5,B5,1975.53
C6,C6,2093
C#6,Db6,2217.46
D6,D6,2349.32
D#6,Eb6,2489.02
E6,E6,2637.02
F6,F6,2793.83
F#6,Gb6,2959.96
G6,G6,3135.96
G#6,Ab6,3322.44
A6,A6,3520
A#6,Bb6,3729.31
B6,B6,3951.07
C7,C7,4186.01
C#7,Db7,4434.92
D7,D7,4698.63
D#7,Eb7,4978.03
E7,E7,5274.04
F7,F7,5587.65
F#7,Gb7,5919.91
G7,G7,6271.93
G#7,Ab7,6644.88
A7,A7,7040
A#7,Bb7,7458.62
B7,B7,7902.13
